
1796,-4464,14384,-373,110,-119,

1868,-4408,14244,-383,106,-146,

1960,-4456,14320,-371,147,-110,

1904,-4448,14412,-406,131,-141,

1856,-4480,14316,-415,134,-110,

1960,-4428,14312,-386,130,-128,

1936,-4368,14288,-392,117,-112,

1972,-4420,14244,-399,112,-110,

1936,-4368,14272,-401,134,-100,

1976,-4484,14252,-457,136,-111,

2044,-4380,14232,-388,83,-95,

1948,-4456,14280,-376,127,-110,

1964,-4452,14288,-376,132,-127,

1916,-4392,14192,-406,121,-125,

1956,-4396,14352,-392,132,-123,

2012,-4512,14312,-400,122,-111,

1908,-4448,14284,-427,121,-128,

1892,-4456,14352,-393,126,-105,

1988,-4480,14304,-398,110,-96,

1940,-4316,14224,-421,134,-108,

1932,-4424,14268,-422,134,-91,

1980,-4412,14360,-391,126,-95,

1956,-4460,14152,-387,127,-104,

1900,-4440,14368,-366,105,-97,

1956,-4416,14256,-412,145,-108,

2012,-4348,14248,-414,111,-127,

1884,-4492,14456,-444,97,-109,

1964,-4432,14388,-443,117,-115,

2000,-4408,14296,-448,95,-106,

1900,-4460,14304,-411,133,-120,

1812,-4420,14248,-412,114,-121,

1964,-4496,14348,-407,101,-119,

2016,-4476,14300,-421,101,-101,

1900,-4408,14320,-369,118,-126,

1996,-4512,14376,-446,98,-136,

1892,-4420,14200,-400,100,-120,

1948,-4360,14380,-406,101,-113,

2020,-4340,14324,-376,96,-110,

1876,-4356,14280,-420,101,-115,

1916,-4324,14192,-400,123,-114,

1892,-4484,14348,-410,129,-118,

1876,-4444,14356,-406,122,-106,

1904,-4424,14268,-405,105,-108,

1992,-4480,14360,-417,129,-116,

1932,-4560,14212,-374,116,-112,

1940,-4500,14224,-440,122,-121,

1924,-4440,14176,-414,106,-105,

1900,-4476,14352,-399,132,-106,

2028,-4476,14324,-438,134,-109,

2012,-4468,14232,-462,108,-78,

1944,-4496,14256,-373,114,-111,

1924,-4480,14240,-409,129,-128,

1840,-4452,14464,-402,119,-129,

1988,-4348,14416,-335,127,-139,

1924,-4564,14240,-393,138,-111,

1936,-4392,14312,-389,116,-107,

2024,-4500,14400,-379,134,-121,

1948,-4476,14232,-456,145,-102,

1888,-4372,14192,-409,88,-86,

1952,-4360,14388,-408,93,-97,

2008,-4428,14104,-415,141,-114,

1900,-4448,14396,-372,125,-119,

2000,-4476,14332,-391,111,-96,

1924,-4476,14292,-382,122,-110,

1932,-4528,14352,-411,125,-123,

1960,-4456,14400,-400,111,-111,

1852,-4472,14484,-374,123,-119,

1984,-4380,14316,-361,127,-113,

1972,-4312,14296,-394,97,-124,

1996,-4484,14396,-394,103,-117,

1948,-4428,14104,-388,127,-115,

1992,-4400,14324,-335,113,-111,

2000,-4444,14224,-374,123,-105,

1892,-4512,14292,-386,124,-110,

1960,-4500,14340,-417,132,-90,

1908,-4468,14140,-421,108,-131,

1912,-4512,14368,-394,145,-122,

1968,-4424,14448,-372,131,-109,

1868,-4416,14408,-400,127,-109,

1904,-4472,14348,-440,115,-124,

1924,-4484,14304,-411,113,-111,

1952,-4420,14348,-363,122,-114,

1988,-4400,14364,-420,134,-131,

1944,-4396,14372,-395,133,-124,

1912,-4460,14284,-446,143,-110,

1996,-4476,14368,-403,124,-127,

1976,-4432,14268,-423,141,-112,

2000,-4380,14336,-434,118,-110,

1912,-4360,14280,-419,96,-124,

1968,-4468,14264,-386,117,-124,

1940,-4504,14304,-434,114,-127,

1932,-4400,14356,-382,128,-109,

1928,-4444,14240,-433,130,-121,

1848,-4520,14184,-410,85,-119,

1972,-4452,14344,-416,91,-119,

1936,-4468,14148,-421,120,-111,

1868,-4528,14248,-415,113,-131,

1996,-4360,14316,-411,115,-112,

1964,-4512,14388,-353,126,-122,

1932,-4400,14240,-418,127,-113,

1976,-4484,14192,-394,111,-131,

1916,-4468,14404,-393,108,-107,

1988,-4504,14212,-352,134,-125,

